ID,Title,Cmd Line
14016393988,MEM_EV_EMR_DDR5_RMT_SLOW_COLD_RESET_5600,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_5600_Slow rmt_reset_count=10 --subsystem=MSS
14016397256,MEM_EV_EMR_DDR5_RMT_SLOW_COLD_RESET_5200,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_5200_Slow rmt_reset_count=10 --subsystem=MSS
14016397328,MEM_EV_EMR_DDR5_RMT_SLOW_COLD_RESET_4800,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_4800_Slow rmt_reset_count=10 --subsystem=MSS
14016397857,MEM_EV_EMR_DDR5_RMT_SLOW_COLD_RESET_4400,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_4400_Slow rmt_reset_count=10 --subsystem=MSS
14016398159,MEM_EV_EMR_DDR5_RMT_FAST_COLD_RESET_5600,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_5600_Fast rmt_reset_count=10 --subsystem=MSS
14016398184,MEM_EV_EMR_DDR5_RMT_FAST_COLD_RESET_5200,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_5200_Fast rmt_reset_count=10 --subsystem=MSS
14016398226,MEM_EV_EMR_DDR5_RMT_FAST_COLD_RESET_4800,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_4800_Fast rmt_reset_count=10 --subsystem=MSS
14016398273,MEM_EV_EMR_DDR5_RMT_FAST_COLD_RESET_4400,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_4400_Fast rmt_reset_count=10 --subsystem=MSS
14016398367,MEM_EV_EMR_DDR5_RMT_SLOW_WARM_RESET_5600,python harness_main.py --test BSSA_RMT_WARM_RESET bdat=True bios_knobs_cfg=rmt_EMR_5600_Slow rmt_reset_count=10 --subsystem=MSS
14016398419,MEM_EV_EMR_DDR5_RMT_SLOW_WARM_RESET_5200,python harness_main.py --test BSSA_RMT_WARM_RESET bdat=True bios_knobs_cfg=rmt_EMR_5200_Slow rmt_reset_count=10 --subsystem=MSS
14016398452,MEM_EV_EMR_DDR5_RMT_SLOW_WARM_RESET_4800,python harness_main.py --test BSSA_RMT_WARM_RESET bdat=True bios_knobs_cfg=rmt_EMR_4800_Slow rmt_reset_count=10 --subsystem=MSS
14016398482,MEM_EV_EMR_DDR5_RMT_SLOW_WARM_RESET_4400,python harness_main.py --test BSSA_RMT_WARM_RESET bdat=True bios_knobs_cfg=rmt_EMR_4400_Slow rmt_reset_count=10 --subsystem=MSS
14018720086,DM_MEM_LOCK_STRESS-native-SNC_disabled,python harness_main.py --subsystem=MSS --test MixedWorkload sync_tools=dm_mem bios_knobs_cfg=Snc_Disabled test_config_dm=mem_lock_stress.cfg test_name=mem_lock_stress --regular_itp_unlock --machinecheckbreak
